Name: 新闻综合, URL: http://www.17888.fun:10000/rtp/239.45.3.209:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 246fps
Name: 新闻综合, URL: http://222.71.139.114:8001/rtp/239.45.3.209:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 233fps
Name: 新闻综合, URL: http://116.235.144.234:4022/rtp/239.45.3.209:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 214fps
Name: 新闻综合, URL: http://124.77.225.50:4022/rtp/239.45.3.209:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 208fps
Name: 新闻综合, URL: http://116.230.101.210:6066/rtp/239.45.3.209:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 136fps
Name: 东方卫视, URL: http://183.31.11.72:8000/rtp/239.77.0.98:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 222fps
Name: 东方卫视, URL: http://113.109.250.1:9999/rtp/239.77.1.218:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 209fps
Name: 东方卫视, URL: http://113.109.250.1:9999/rtp/239.77.0.98:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 208fps
Name: 东方卫视, URL: http://222.71.139.114:8001/rtp/239.45.3.146:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 182fps
Name: 东方卫视, URL: http://www.17888.fun:10000/rtp/239.45.3.146:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 179fps
Name: 东方卫视, URL: http://124.77.225.50:4022/rtp/239.45.3.146:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 174fps
Name: 东方卫视, URL: http://116.235.144.234:4022/rtp/239.45.3.146:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 165fps
Name: 东方卫视, URL: http://116.230.101.210:6066/rtp/239.45.3.146:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 158fps
Name: 东方卫视, URL: http://116.22.48.57:4022/rtp/239.77.0.98:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 154fps
Name: 东方卫视, URL: http://14.112.86.108:8008/rtp/239.77.0.98:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 136fps
Name: 都市频道, URL: http://222.71.139.114:8001/rtp/239.45.3.236:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 都市频道, URL: http://124.77.225.50:4022/rtp/239.45.3.236:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 247fps
Name: 都市频道, URL: http://116.235.144.234:4022/rtp/239.45.3.236:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 225fps
Name: 都市频道, URL: http://www.17888.fun:10000/rtp/239.45.3.236:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215fps
Name: 都市频道, URL: http://116.230.101.210:6066/rtp/239.45.3.236:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 205fps
Name: 东方影视, URL: http://124.77.225.50:4022/rtp/239.45.3.237:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 东方影视, URL: http://222.71.139.114:8001/rtp/239.45.3.237:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 东方影视, URL: http://116.235.144.234:4022/rtp/239.45.3.237:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 228fps
