上海频道,#genre#
新闻综合,http://101.81.119.90:8888/rtp/239.45.3.209:5140$1920x1080
东方卫视,http://101.81.119.90:8888/rtp/239.45.3.146:5140$1920x1080
东方卫视,http://61.145.208.119:9090/rtp/239.77.1.218:5146$1920x1080
东方卫视,http://61.145.208.119:9090/rtp/239.77.0.98:5146$1920x1080
都市频道,http://101.81.119.90:8888/rtp/239.45.3.236:5140$1920x1080
东方影视,http://101.81.119.90:8888/rtp/239.45.3.237:5140$1920x1080
五星体育,http://61.145.208.119:9090/rtp/239.253.43.119:5146$1920x1080
五星体育,http://101.81.119.90:8888/rtp/239.45.3.210:5140$1920x1080
五星体育,http://www.17888.fun:10000/rtp/239.45.3.210:5140$1920x1080
生活时尚,http://101.81.119.90:8888/rtp/239.45.3.132:5140$1920x1080
教育台,http://101.81.119.90:8888/rtp/239.45.3.252:5140$720x576
教育台,http://116.227.48.27:58888/rtp/239.45.3.252:5140$720x576
教育台,http://www.17888.fun:10000/rtp/239.45.3.252:5140$720x576
教育台,http://101.81.119.90:8888/rtp/239.45.3.122:5140$528x576
都市剧场,http://101.81.119.90:8888/rtp/239.45.3.136:5140$1920x1080
欢笑剧场,http://101.81.119.90:8888/rtp/239.45.1.4:5140$3840x2160
欢笑剧场,http://101.81.119.90:8888/rtp/239.45.3.196:5140$1920x1080
全纪实,http://101.81.119.90:8888/rtp/239.45.3.135:5140$1920x1080
全纪实,http://116.227.48.27:58888/rtp/239.45.3.135:5140$1920x1080
法治天地,http://101.81.119.90:8888/rtp/239.45.1.46:5140$1920x1080
法治天地,http://www.17888.fun:10000/rtp/239.45.1.46:5140$1920x1080
纪实人文,http://101.81.119.90:8888/rtp/239.45.3.212:5140$1920x1080

广东频道,#genre#
广东珠江,http://61.145.208.119:9090/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://61.145.208.119:9090/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://61.145.208.119:9090/rtp/239.77.0.3:5146$720x576
广东珠江,http://61.145.208.119:9090/rtp/239.77.1.94:5146$720x576
广东体育,http://61.145.208.119:9090/rtp/239.77.0.112:5146$1920x1080
广东体育,http://61.145.208.119:9090/rtp/239.77.0.168:5146$1920x1080
广东体育,http://61.145.208.119:9090/rtp/239.77.0.6:5146$720x576
广东体育,http://61.145.208.119:9090/rtp/239.77.1.97:5146$720x576
广东影视,http://61.145.208.119:9090/rtp/239.77.0.217:5146$1920x1080
广东影视,http://61.145.208.119:9090/rtp/239.77.0.11:5146$720x576
广东少儿,http://61.145.208.119:9090/rtp/239.77.0.250:5146$1920x1080
广东少儿,http://61.145.208.119:9090/rtp/239.77.0.12:5146$720x576
广东新闻,http://61.145.208.119:9090/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://61.145.208.119:9090/rtp/239.77.0.4:5146$720x576
广东新闻,http://61.145.208.119:9090/rtp/239.77.0.190:5146$720x576
广东卫视,http://101.81.119.90:8888/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.0.84:5146$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.1.19:5146$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.1.2:5146$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.0.166:5146$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.1.152:5146$1920x1080
广东卫视,http://61.145.208.119:9090/rtp/239.77.0.2:5146$720x576
广东卫视,http://61.145.208.119:9090/rtp/239.77.0.191:5146$720x576
广东卫视,http://61.145.208.119:9090/rtp/239.77.0.233:5146$720x576
广东经济科教,http://61.145.208.119:9090/rtp/239.77.0.85:5146$1920x1080
广东经济科教,http://61.145.208.119:9090/rtp/239.77.0.167:5146$1920x1080
广东经济科教,http://61.145.208.119:9090/rtp/239.77.0.8:5146$720x576

